comment,text_clean,sentiment,sentiment_score
"didesa gue g ada langsung jdi ada karyawanya di dalem , masa gue halu sih😭",didesa gue langsung jdi karyawanya dalem masa gue halu sih,Negatif,0.9908
pemerintah bersaing sama retail? whatthehelll bro,pemerintah bersaing sama retail whatthehelll bro,Positif,0.8923
emang serba salah yaa... bagimu salah lagii... 😂,emang serba salah yaa bagimu salah lagii,Negatif,0.9975
gini amat punya pimpinan negara 🗿,gini punya pimpinan negara,Negatif,0.913
Gak tertarik blas,gak tertarik blas,Negatif,0.9976
"apa hak dia, itu kan usaha orang lain, bersaing lah secara sehat pak tanpa harus menutup usaha orang lain",apa hak kan usaha orang bersaing lah sehat pak menutup usaha orang,Negatif,0.9532
wkwkk kukira daerah ku sndiri kk,wkwkk kukira daerah ku sndiri kk,Netral,0.6837
pantesan barang2 langka sekarang🥺,pantesan barang langka sekarang,Negatif,0.6802
jaga jarak😭,jaga jarak,Positif,0.7234
KDMP itu K nya Kelontong ya?,kdmp nya kelontong,Negatif,0.8619
"biasalah pejabat indo, sawah gw pernah mau disewa 5th buat bangun dapur mbg jir, pdhal anggaran mbg 1T tiap hari, yakali ga mampu keluar uang 500jt an buat beli tanah, aneh kan 😹",biasalah pejabat indo sawah gw pernah mau disewa th buat bangun dapur mbg jir pdhal anggaran mbg tiap hari yakali ga mampu keluar uang jt an buat beli tanah aneh kan,Negatif,0.994
kebesaran ruko nya isi nya ???,kebesaran ruko nya isi nya,Negatif,0.952
moal kebel geh bangkrut,moal kebel geh bangkrut,Negatif,0.9968
kalo harganya sama kayak yg lain ya sama aja boong😂,kalo harganya sama kayak yg sama aja boong,Negatif,0.9793
planogram aja masih kayak gitu mau nyaingin indomaret 😭😭😭😭😭,planogram aja kayak gitu mau nyaingin indomaret,Netral,0.88
beli di warung sebelah aja di agen harganya murah,beli warung sebelah aja agen harganya murah,Positif,0.9952
Lebih tertarik lihat displaynya toko madura😭😂😂😂,lebih tertarik lihat displaynya toko madura,Positif,0.8676
LPG beneran 16k ???,lpg beneran,Positif,0.9778
gabakalll gw injak kaki gw kesitu,gabakalll gw injak kaki gw kesitu,Negatif,0.9826
Tapi kalo di pikir2 lebih lengkap warung madura .. maaf kak 🙏🏻😭,kalo pikir lebih lengkap warung madura maaf kak,Netral,0.7336
hadeh,hadeh,Negatif,0.9918
yang suruhh lu belanja siapa,suruhh lu belanja siapa,Negatif,0.9617
intinya boss sudah cair,intinya boss cair,Positif,0.5941
social distencing ngono i😭,social distencing ngono,Negatif,0.878
hallah uda tutup aja,hallah uda tutup aja,Negatif,0.9958
cerdas👍,cerdas,Positif,0.9945
Mosok aku aku kudu gerak🤣,mosok aku aku kudu gerak,Negatif,0.9771
"kalau udah ada cap keburukan maupun berbuat baik apapun tetep bakalan susah diterima
ya karna oknum2 masih banyak di pemerintahan",kalau udah cap keburukan maupun berbuat baik apapun tetep bakalan susah diterima karna oknum banyak pemerintahan,Negatif,0.9968
"yang paling penting full display bukannya kek toko kurang modal, liatnya aja dh ga minat",paling penting full display bukannya kek toko kurang modal liatnya aja dh ga minat,Negatif,0.9866
"itu hrg agen,, kalo beli di warung ya beda lah cuk... di warung bisa 20rb,,, di tempat kami agen itu gak boleh jual lebih dari 16rb/tabung nya .",hrg agen kalo beli warung beda lah cuk warung rb tempat agen gak jual lebih rb tabung nya,Netral,0.6133
membuka banyak lapangan pekerjaan,membuka banyak lapangan pekerjaan,Positif,0.9108
lawakk,lawakk,Positif,0.9924
bersaing secara sehat.udah takut duluan nyuruh tutup,bersaing sehat udah takut duluan nyuruh tutup,Negatif,0.9969
cb liat berth brp bulan,cb liat berth brp bulan,Netral,0.9897
skrg pemerintah juga dagang bersaing sama umkm malah😁😁,skrg pemerintah dagang bersaing sama umkm malah,Positif,0.5275
gabakal gw beli klo ada di tempat gw,gabakal gw beli klo tempat gw,Positif,0.848
sampai kapan bertahan.?,kapan bertahan,Negatif,0.9339
ngaruh ke Pasar gak ya nantinya,ngaruh pasar gak nantinya,Negatif,0.9851
"gak masuk akal, lihat dulu tempatnya kopdes lahanya gak jelas.
kalau alfamart, indomaret kan di pinggir2 jalan",gak masuk akal lihat dulu tempatnya kopdes lahanya gak jelas kalau alfamart indomaret kan pinggir jalan,Negatif,0.9766
Mb00tt,mbtt,Positif,0.9073
alfa itu mahal agen murah👍,alfa mahal agen murah,Negatif,0.9941
mosok dana nggo kulakan entek khang,mosok dana nggo kulakan entek khang,Negatif,0.9931
"Baru Kali ini punya Presiden kek main main kerja nya.. gak ada yg jelas programnya.. MBG ancur2an...
ini kopdes.. lagi hadehhhhhh",baru kali punya presiden kek main main kerja nya gak yg jelas programnya mbg ancuran kopdes hadehhhhhh,Negatif,0.9913
Titipan inimaah..😩,titipan inimaah,Positif,0.8724
"buget 5M kosong melompong, masih penuh warung Madura 😂",buget kosong melompong penuh warung madura,Negatif,0.9111
andai semua jalan akan indah pak ada swasta ada negeri.perlu belajar dl sm swasta mengenai pelayanan ke konsumen yg prima dan bisa menambah tenaga kerja lagi bukan mengurangi.,andai semua jalan indah pak swasta negeri perlu belajar dl sm swasta mengenai pelayanan konsumen yg prima menambah tenaga kerja bukan mengurangi,Positif,0.9283
tidak punya inisiatif,punya inisiatif,Positif,0.8702
kasihan pedagang lain kalo main turunin harga gtu,kasihan pedagang kalo main turunin harga gtu,Negatif,0.9957
"Beginilah kalau punya pemerintah yg tdk memahami kebutuhan rakyatnya,, semakin parah..🤔",beginilah kalau punya pemerintah yg tdk memahami kebutuhan rakyatnya semakin parah,Negatif,0.9978
"trus toko2 kecil di desa nasibnya gmn,itu bersaing sm rakyat sendiri",trus toko kecil desa nasibnya gmn bersaing sm rakyat sendiri,Negatif,0.9749
mohon maaf tapi produk umkm apa ya yang dijual disitu?,mohon maaf produk umkm apa dijual disitu,Negatif,0.763
lho kan menyerap hasil dr rakyat? ide awalnya gt kan? bukan membeli dari supplier besar,lho kan menyerap hasil dr rakyat ide awalnya gt kan bukan membeli supplier besar,Negatif,0.984
jaraknya semeter meter....😂,jaraknya semeter meter,Negatif,0.5141
minimal lampu nyalain lah kocak,minimal lampu nyalain lah kocak,Positif,0.8951
"dikampung saya gas elpiji 3kg harga 60.000,😳",dikampung gas elpiji kg harga,Netral,0.9951
"di sini akubaru sadar ,ternyata rakyat kecil di laraang buka wsrung dan toko",sini akubaru sadar ternyata rakyat kecil laraang buka wsrung toko,Negatif,0.8527
KDMP = INDO ALFAMART,kdmp indo alfamart,Netral,0.9882
fungsi tentara?,fungsi tentara,Netral,0.6726
ojok guyu sek sek Tala tunggu😏😏😏😏,ojok guyu sek sek tala tunggu,Negatif,0.9786
Meskipun bawa ktp ya gak pp asal 16rb.. oke besok besok tinggal belanja di kdmp desa masing2,meskipun bawa ktp gak pp asal rb oke besok besok tinggal belanja kdmp desa masing,Netral,0.9543
"itu pasti, soalnya Dulu ada BUMDES juga tidak jelas, juga pernah ada KUD juga jalan di ketua nya saja....",soalnya dulu bumdes jelas pernah kud jalan ketua nya,Netral,0.9926
kasihan warung kecil .. kmpd bkn membantu tp mematikan rejeki warung kecil..,kasihan warung kecil kmpd bkn membantu tp mematikan rejeki warung kecil,Negatif,0.9919
bener bangetzz,bener bangetzz,Positif,0.9961
ttep di indo alfa aja gess belanja nyaa,ttep indo alfa aja gess belanja nyaa,Positif,0.6732
jaga jarak banget barang2 nya😭😭😭,jaga jarak banget barang nya,Positif,0.9811
bapak aja yg setop dari kursi mentri,bapak aja yg setop kursi mentri,Netral,0.9977
dari mana kak,mana kak,Negatif,0.5805
Kenapa indo dan alfa ga diajak kerjasama aja pak?,indo alfa ga diajak kerjasama aja pak,Negatif,0.9284
Mentri kuculuk,mentri kuculuk,Netral,0.9477
kalian salah pilih pemimpin,kalian salah pilih pemimpin,Negatif,0.9982
Berarti saingannya pedagang eceran bertambah dong.,berarti saingannya pedagang eceran bertambah dong,Negatif,0.9735
bnyak banget yng harus di bahas 😳,bnyak banget yng bahas,Positif,0.9225
kan itu urusan pramuniaganya gimana ngatur nya tapi sih ndak sampek setahun dah tutup,kan urusan pramuniaganya gimana ngatur nya sih ndak sampek setahun dah tutup,Negatif,0.5944
"ujung ujungnya hasil hasil di beli murah .oleh koperasi , rakyat yg rugi",ujung ujungnya hasil hasil beli murah koperasi rakyat yg rugi,Negatif,0.9967
"awal nya koperasi merah putih itu di buka biar warga desa bisa titip jual nya disana,lu ga paham apa gimana si😭kalau ambil nya di indomarco berarti hasil warga bersaing sama produk nya indomarco",awal nya koperasi merah putih buka biar warga desa titip jual nya disana lu ga paham apa gimana si kalau ambil nya indomarco berarti hasil warga bersaing sama produk nya indomarco,Positif,0.9833
Ya udah sih kopdes tetep buka gpp tapi alfa indo jgn tutup…,udah sih kopdes tetep buka gpp alfa indo jgn tutup,Netral,0.8899
barangnya lengkapn't banget,barangnya lengkapn banget,Positif,0.9963
oh iya kan lagi corona hantavirus makannya harus jaga jarak😭,iya kan corona hantavirus makannya jaga jarak,Positif,0.5407
kyne itu bkn KDMP model bangunannya jg beda,kyne bkn kdmp model bangunannya jg beda,Positif,0.5422
"wow....hati"" nih
bakalan bisa seperti Shell saingan di tutup
Asal jgn Alfa sama Indomaret bernasib sama seperti Shell",wow hati nih bakalan shell saingan tutup asal jgn alfa sama indomaret bernasib sama shell,Negatif,0.8087
justru stop sidang² yg lucuk 🗿,justru stop sidang² yg lucuk,Positif,0.8501
bisnis🗿,bisnis,Positif,0.9871
Duhh.. @Novi Zilva,duhh zilva,Negatif,0.9586
mending beli di warung UMKM 😭,mending beli warung umkm,Netral,0.4479
sak kardus dadi sak ratan,sak kardus dadi sak ratan,Negatif,0.9771
kipliii kipliiiii....mbeel,kipliii kipliiiii mbeel,Positif,0.699
"yg udah ada di bikin buat bersaing, nanti lama lama saingannya di runtuhkan",yg udah bikin buat bersaing lama lama saingannya runtuhkan,Negatif,0.9972
"gada bandrolnya euy gimana ngira"" nya kalo bawa uang pas aowkaowk",gada bandrolnya euy gimana ngira nya kalo bawa uang pas aowkaowk,Negatif,0.967
gonku 20,gonku,Negatif,0.5982
terkesan memaksakan ....😏😏😏 tapi jngn juga harus menutup gray lain donk ..karna yg lain sudah jauh jauh hari eksis di dunia wirausaha ....,terkesan memaksakan jngn menutup gray donk karna yg jauh jauh hari eksis dunia wirausaha,Negatif,0.9685
Nyimakkk,nyimakkk,Positif,0.8973
"bukannya jadi monopoli harga ya?
maaf tanya",bukannya jadi monopoli harga maaf tanya,Negatif,0.9957
"Kadang cuma kue kotakan kak, aku wartawan",kadang cuma kue kotakan kak aku wartawan,Negatif,0.9745
jangan lupa aplod vidio harga setiap pembelian apakah murah,jangan lupa aplod vidio harga pembelian murah,Positif,0.5997
capek nulis TIDAK ADA,capek nulis,Negatif,0.9969
huuuu bikin pusing kami di desa aj,huuuu bikin pusing desa aj,Negatif,0.9977
"Kyk ga yakin bakalan muter, kyknya bakalan abis aja duitnya ga ada m 😩",kyk ga yakin bakalan muter kyknya bakalan abis aja duitnya ga,Negatif,0.9919
"Mending rak nya dikit dulu tapi barangnya full, dari pada kek gtu brantakan bgt displaynya",mending rak nya dikit dulu barangnya full kek gtu brantakan bgt displaynya,Netral,0.4697
yg penting angaran cairr,yg penting angaran cairr,Positif,0.8733
koprasi beli sama perusahan besar... bkn nya beli hasil usaha rakyat... aneh koprasi sekarang,koprasi beli sama perusahan besar bkn nya beli hasil usaha rakyat aneh koprasi sekarang,Negatif,0.9961
Lebih baik beli di warung warung kecil. Membantu pendapatan mereka. Kalau ini gak jelas.,lebih baik beli warung warung kecil membantu pendapatan kalau gak jelas,Negatif,0.7588
sama aja menutup rejeki rakyat kecil yg lebih dulu jualan,sama aja menutup rejeki rakyat kecil yg lebih dulu jualan,Negatif,0.9639
namanya juga money cuci kak 😂,namanya money cuci kak,Netral,0.3999
iya kya gk bukak loker ya,iya kya gk bukak loker,Negatif,0.9791
biar di bangun kopdes tiap-tiap dusun rakyat kecil tetap juga menderita dan kelaparan,biar bangun kopdes tiap tiap dusun rakyat kecil tetap menderita kelaparan,Negatif,0.9737
mantepan borma sia,mantepan borma sia,Positif,0.9503
Abis monopoli pasar nanti laporan tahunan rugi terus kayak bumn lain😅,abis monopoli pasar laporan tahunan rugi terus kayak bumn,Negatif,0.9976
jgn lupa pacing out sebelum pulang 😂,jgn lupa pacing out pulang,Positif,0.577
MEDAN MANA SUARANYAAAA,medan mana suaranyaaaa,Positif,0.6626
program asbun🗿,program asbun,Netral,0.9496
ingat traktor yg ratusan dipajang.,ingat traktor yg ratusan dipajang,Netral,0.921
dibukak mbak plastiknya,dibukak mbak plastiknya,Negatif,0.799
[Sticker] lucu bgtt😭🤣,sticker lucu bgtt,Positif,0.9927
keren't,keren,Positif,0.9972
t4 kami blom ada jadi kami belom merasakanyah,blom jadi belom merasakanyah,Negatif,0.9433
"yg komen wajar raknya pada masih kosong wajar kan masih baru, justru kalo awal dn bener2 bantu rakyat harusnya stok full dong biar cukup😳 kalo stok cuma sedikit sama aja kita beli ke toko lain yg mungkin bisa jadi lebih mahal",yg komen wajar raknya kosong wajar kan baru justru kalo awal dn bener bantu rakyat harusnya stok full dong biar cukup kalo stok cuma sedikit sama aja beli toko yg mungkin jadi lebih mahal,Negatif,0.9945
LDR banget😭😭😭,ldr banget,Negatif,0.9875
kaya oisave,kaya oisave,Positif,0.9624
mending di stop indomaret alfamart msk ke pedesaan dr pada ditutup total itu sama saja menambah pengangguran,mending stop indomaret alfamart msk pedesaan dr ditutup total sama menambah pengangguran,Negatif,0.9884
ngapain tutup mata orng ga tutup mata aja emg gdaaa plano hrganya,ngapain tutup mata orng ga tutup mata aja emg gdaaa plano hrganya,Negatif,0.9938
"Emang Yakin bisa berjalan dng mematikan / menutup IDM/ SAT ?
kalo product ga ada yg kirim mau jualan apa .
ingat toko 212. hanya se umur jagung",emang yakin berjalan dng mematikan menutup idm sat kalo product ga yg kirim mau jualan apa ingat toko se umur jagung,Negatif,0.957
"Ohh jadi ini kenapa alf Indomaret suruh tutup, parah juga yaaa😂",ohh jadi alf indomaret suruh tutup parah yaaa,Negatif,0.995
pusing ga si liatnya,pusing ga si liatnya,Negatif,0.9967
"Biasanya koperasi itu terbuka untuk umum, maka bila koperasi menjaring anggota warga desa jadi anggota koperasi dan ada simpanan pokok dan suka rela , dan setiap bulan bagi vocer belanja wajib bagi anggota maka koperasi tidak akan pernah bangkrut..( kalao gak di korupsi)",biasanya koperasi terbuka umum bila koperasi menjaring anggota warga desa jadi anggota koperasi simpanan pokok suka rela bulan vocer belanja wajib anggota koperasi pernah bangkrut kalao gak korupsi,Positif,0.8697
seperti barisan upacara jir,barisan upacara jir,Netral,0.531
aku yakin mangkerak,aku yakin mangkerak,Positif,0.9599
karuan gratisin BPJS dari pada ginian mah 🗿,karuan gratisin bpjs ginian mah,Negatif,0.9939
"program pemerintah sudah bagus , tapi mengapa banyak bangunan koprasi desa kyaknya terlalu di paksakan KL lihat posisi dan tempat bangunan kadang di tempat jau dari masarakat",program pemerintah bagus banyak bangunan koprasi desa kyaknya terlalu paksakan kl lihat posisi tempat bangunan kadang tempat jau masarakat,Negatif,0.8826
"semangat semangat, semoga yg qualified yg terpilih jadi manajer BUMN koperasi merah putih 👍",semangat semangat semoga yg qualified yg terpilih jadi manajer bumn koperasi merah putih,Positif,0.8736
ga menarik amat susunan estalasenya,ga menarik susunan estalasenya,Negatif,0.9972
liat mertuanya aja dulu belusukan kepedesan buat mengintai keadaan masyarakat nya,liat mertuanya aja dulu belusukan kepedesan buat mengintai keadaan masyarakat nya,Negatif,0.984
efek obat tramadol,efek obat tramadol,Netral,0.8712
koyo dolanan🤣,koyo dolanan,Positif,0.721
"Tolong bales komen gw, buat warga nganjuk sekitar area koperasi desa merah putih itu, apakah bener harga gas lpg 3 kg 16 ribu?",bales komen gw buat warga nganjuk area koperasi desa merah putih bener harga gas lpg kg ribu,Netral,0.9817
sing penting cair,sing penting cair,Positif,0.7723
Uda parah ini mah,uda parah mah,Negatif,0.9981
"tebak yoo, lebih mahal atau lebih murah",tebak yoo lebih mahal lebih murah,Negatif,0.9942
tai...,tai,Negatif,0.9966
stop2 aja itu usaha orang,stop aja usaha orang,Negatif,0.9975
katanya merah putih kok tp bajunya merah aja putih nya mana 😅,katanya merah putih kok tp bajunya merah aja putih nya mana,Negatif,0.912
ada yg fokus ke keramiknya?,yg fokus keramiknya,Positif,0.6403
"pemerintah itu kalau menjalankan program tentu disertai banyak pertimbangan. Melibatkan banyak ahli dan tokoh yang berkompeten dari semua lini pemerintahan. KopDes ini dikawal oleh dua petugas PPPK yang akan dilatih untuk membuat perencanaan usaha, membantu proses berjalannya usaha sampai pembuatan laporan keuangan. Nanti juga akan dikawal dan diawasi oleh tokoh desa setempat. Dengan ikhtiar bersama, insya Allah kita bisa jadikan KopDes Merah Putih sebagai muara harapan kita semua ..",pemerintah kalau menjalankan program disertai banyak pertimbangan melibatkan banyak ahli tokoh berkompeten semua lini pemerintahan kopdes dikawal petugas pppk dilatih membuat perencanaan usaha membantu proses berjalannya usaha pembuatan laporan keuangan dikawal diawasi tokoh desa setempat ikhtiar bersama insya allah jadikan kopdes merah putih muara harapan semua,Positif,0.8611
kasian kmu ngk ngeti konteks,kasian kmu ngk ngeti konteks,Negatif,0.9975
saya dia kali salah persepsi dulu MBG dan Sekarang koprasi merah putih,kali salah persepsi dulu mbg sekarang koprasi merah putih,Negatif,0.9725
asal asbun,asal asbun,Negatif,0.9016
"aku kira koperasinya itu jualan bahan2 bangunan, soalnya ada truknya segala macem 😂😂",aku kira koperasinya jualan bahan bangunan soalnya truknya segala macem,Netral,0.6826
kirain lengkap kaya Alfamidi msh jauh 🤪🤪🤪,kirain lengkap kaya alfamidi msh jauh,Netral,0.6065
@nd petcahhhh😭😭😭,petcahhhh,Positif,0.9509
jadi menurut ABG modal 16 jual 16 gtu. cuma 2 ribu untungnya ABG bilang pula mahal,jadi abg modal jual gtu cuma ribu untungnya abg bilang mahal,Negatif,0.9963
1 diantara 1000 hnya yg baik diliatkan ke beliau.cerdas2 para mentri,diantara hnya yg baik diliatkan beliau cerdas mentri,Positif,0.9362
Sepi amat,sepi,Negatif,0.9978
kalo ada kopinya enaknya namanya apa guys?😳,kalo kopinya enaknya namanya apa guys,Positif,0.9149
flash sale cuci gudang?,flash sale cuci gudang,Netral,0.8283
saingan sama toko rakyat kecil kalok gitu...,saingan sama toko rakyat kecil kalok gitu,Negatif,0.9964
POV: Hidup segan mati tak mau🥰,pov hidup segan mati tak mau,Negatif,0.9923
"bagaimana dgn nasib kami pedagang eceran ini, Indomaret masuk desa sudah terasa banget apa lagi ini😳",bagaimana dgn nasib pedagang eceran indomaret masuk desa terasa banget apa,Negatif,0.9158
Gk lama nanti naik stock sulit diborong orang,gk lama naik stock sulit diborong orang,Negatif,0.9766
ini menteri skripsi nya di bikinin sama org kali yah..,menteri skripsi nya bikinin sama org kali yah,Negatif,0.7956
jane minimarket opo pameran,jane minimarket opo pameran,Negatif,0.9635
ABS asal bapak senang,abs asal bapak senang,Positif,0.9863
jangan beli atu ih,jangan beli atu ih,Negatif,0.9939
tapi mukanya kembar ya apa kakanya saudaraaan ?,mukanya kembar apa kakanya saudaraaan,Negatif,0.9892
"efek jangka panjang,+ - nya disegala bidang,ditimbang2 blum yyhhh..MBG dan koperasi merah putih ini. MBG pengaruh ke pdagang lokal. kperasi ke KUR.",efek jangka panjang nya disegala bidang ditimbang blum yyhhh mbg koperasi merah putih mbg pengaruh pdagang lokal kperasi kur,Netral,0.7555
"orng yg skolah pun kyanya MSI paham de, singkatnya di suru bawa KTP agar tau orng itu orng Kya atau tidak, LPG wrnh ijo itu untuk kalangan"" di bwa, dan untuk orng"" sperti artis dan pejabat"" petinggi tidak boleh memakai itu",orng yg skolah kyanya msi paham de singkatnya suru bawa ktp tau orng orng kya lpg wrnh ijo kalangan bwa orng sperti artis pejabat petinggi memakai,Negatif,0.9804
Minyak dibawa AC ahh mantep,minyak dibawa ac ahh mantep,Positif,0.9951
"semua program pemerintah, percaya kata gw, 5 tahun kedepan lu bakalan dengar bahwa program ini Merugikan negara, lah bayangin pertamina aja, yg semua kita pengguna, tetap aj mereka rugi, jd mau berharap ap pada program berkedok lahan korupsi baru 🙏",semua program pemerintah percaya kata gw tahun kedepan lu bakalan dengar program merugikan negara lah bayangin pertamina aja yg semua pengguna tetap aj rugi jd mau berharap ap program berkedok lahan korupsi baru,Negatif,0.9975
"𝘩𝘢𝘳𝘶𝘴 𝘯𝘺𝘢 𝘬𝘢𝘴𝘪𝘩 𝘮𝘰𝘥𝘢𝘭 𝘬𝘦 𝘸𝘢𝘳𝘶𝘯𝘨 𝘸𝘢𝘳𝘶𝘯𝘨 𝘬𝘦𝘤𝘪𝘭 𝘢𝘨𝘢𝘳 𝘴𝘦𝘫𝘢𝘩𝘵𝘦𝘳𝘢 𝘥𝘢𝘯 𝘮𝘢𝘬𝘪𝘯 𝘣𝘦𝘴𝘢𝘳 𝘶𝘴𝘢𝘩𝘢 𝘯𝘺𝘢,, 𝘵𝘢𝘱𝘪 𝘺𝘢 𝘨𝘪𝘮𝘢𝘯𝘢 𝘪𝘯𝘪 𝘬𝘰𝘯𝘰𝘩𝘢 ,,,",𝘩𝘢𝘳𝘶𝘴 𝘯𝘺𝘢 𝘬𝘢𝘴𝘪𝘩 𝘮𝘰𝘥𝘢𝘭 𝘬𝘦 𝘸𝘢𝘳𝘶𝘯𝘨 𝘸𝘢𝘳𝘶𝘯𝘨 𝘬𝘦𝘤𝘪𝘭 𝘢𝘨𝘢𝘳 𝘴𝘦𝘫𝘢𝘩𝘵𝘦𝘳𝘢 𝘥𝘢𝘯 𝘮𝘢𝘬𝘪𝘯 𝘣𝘦𝘴𝘢𝘳 𝘶𝘴𝘢𝘩𝘢 𝘯𝘺𝘢 𝘵𝘢𝘱𝘪 𝘺𝘢 𝘨𝘪𝘮𝘢𝘯𝘢 𝘪𝘯𝘪 𝘬𝘰𝘯𝘰𝘩𝘢,Netral,0.6755
tetap aja yg makin kaya antoni salim,tetap aja yg makin kaya antoni salim,Positif,0.8487
t4 q LPG 20rb,lpg rb,Netral,0.8595
20 rb gas di wonogiri,rb gas wonogiri,Netral,0.9785
"Please jangan beli disitu guys,kita fokus sama2 bantu usaha rakyat aja",please jangan beli disitu guys fokus sama bantu usaha rakyat aja,Negatif,0.9914
bukan kopi njir,bukan kopi njir,Negatif,0.9896
masih percaya sama pemerintah? 😁😁😁😁😁😁😁😁😁😁😁😁,percaya sama pemerintah,Positif,0.9927
KUD JILID II,kud jilid ii,Netral,0.9636
"padahal udah bukan era covid, tp knp displaynya jaga jarak?😂",padahal udah bukan era covid tp knp displaynya jaga jarak,Negatif,0.7793
[Sticker] ,sticker,Positif,0.6144
Ini tahun berapa sii 😭,tahun berapa sii,Negatif,0.8799
"klu belum lengkap mending jgn buka dulu,kita mau belanja jadi kecewa..",klu lengkap mending jgn buka dulu mau belanja jadi kecewa,Negatif,0.9973
"habis peresmian gulung tikar, krna dagangan ya pinjem🤣🤣🤣",habis peresmian gulung tikar krna dagangan pinjem,Negatif,0.9793
bahkan sun renceng pun di gelar😭 ngakak banget,bahkan sun renceng gelar ngakak banget,Negatif,0.5189
kan harga asli ny emang segituuu.. yg up harga itu kan warungan..,kan harga asli ny emang segituuu yg up harga kan warungan,Positif,0.4925
Negara berdagang dengan rakyatnya😂,negara berdagang rakyatnya,Positif,0.612
Yg dijual produk dri negri sndiri harusnya didukung kalo alfa atau indo kan produk luar kebanyakan ayo dukung biar negara kita maju,yg dijual produk dri negri sndiri harusnya didukung kalo alfa indo kan produk luar kebanyakan ayo dukung biar negara maju,Negatif,0.6456
"d daerahku ada nih koprsi merah putih,bangunannya d tengah sawah...njiiirrrr sapa yg mo beli....hadewhhh 😅😅😅",daerahku nih koprsi merah putih bangunannya tengah sawah njiiirrrr sapa yg mo beli hadewhhh,Positif,0.9276
kayak minimarket mau bangkrut 😭,kayak minimarket mau bangkrut,Negatif,0.9975
pungsinya buat apa anjir,pungsinya buat apa anjir,Negatif,0.9922
belanja di tetangga lebih mantap,belanja tetangga lebih mantap,Positif,0.9971
knp,knp,Negatif,0.9936
udah kayak tugas anak sd,udah kayak tugas anak sd,Negatif,0.9685
"idenya bagus, tapi implementasi nya nihil... tapi tetap ia harus bertanggung jawab atas ide nya.. sdh banyak uang negara yg keluar.. Contoh, KMP yg terjadi dilapangan adalah mini market.. ????",idenya bagus implementasi nya nihil tetap bertanggung jawab atas ide nya sdh banyak uang negara yg keluar contoh kmp yg terjadi dilapangan mini market,Negatif,0.5524
Bisnis negara 🤣🤣,bisnis negara,Positif,0.8534
program terlalu mekso,program terlalu mekso,Negatif,0.9968
Produk²nya pada LDR ya🤭,produk²nya ldr,Negatif,0.8141
Warung madura banyak baiknya.,warung madura banyak baiknya,Positif,0.9858
segala apapun yg dijalankan atau ada kaitannya sama pemerintah ga akan jauh dari kata monopoli dan korupsi😹,segala apapun yg dijalankan kaitannya sama pemerintah ga jauh kata monopoli korupsi,Negatif,0.9775
setengah harga si harusnya😄,setengah harga si harusnya,Negatif,0.9911
lucu.... biar bersaing,lucu biar bersaing,Positif,0.9803
displaynya yg rapi jangan kayak mau upacara😂😭,displaynya yg rapi jangan kayak mau upacara,Negatif,0.9693
Hadeh gk minat,hadeh gk minat,Negatif,0.9977
"kta tmn ku bayar nya pke qr gbsa csh, bnr g?",kta tmn ku bayar nya pke qr gbsa csh bnr,Netral,0.4383
vibe nya kek toko mau bangkrut.barangnya sepi gitu,vibe nya kek toko mau bangkrut barangnya sepi gitu,Negatif,0.9974
ramean wrung Madura kayanya,ramean wrung madura kayanya,Positif,0.9949
Unilever itu usaha kecil dan mikro kocak🤭,unilever usaha kecil mikro kocak,Netral,0.9215
"koprasi merah putih kalau fungsinya buat ningkatinbdn ngangkat usaha UMKM bagus sih. dr rakyat kembali ke rakyat. tp kalau sama saja dg mini market lah apa bedanya...?
ada atau tidknya koprasi g bisa jd tempat berputarnya hasil petani dan usaha UMKM.
lebih setuju kalau koprasi merah putih jadi wadah ""DARI RAKYAT UNTUK RAKYAT"".🙏🙏",koprasi merah putih kalau fungsinya buat ningkatinbdn ngangkat usaha umkm bagus sih dr rakyat rakyat tp kalau sama dg mini market lah apa bedanya tidknya koprasi jd tempat berputarnya hasil petani usaha umkm lebih setuju kalau koprasi merah putih jadi wadah rakyat rakyat,Positif,0.9611
kira* bkk nya koprasi bs bertahan brp bln ya....☺️kl lht desply nya hanya d sisi dpn semua...barang nya g full🤣,kira bkk nya koprasi bs bertahan brp bln kl lht desply nya sisi dpn semua barang nya full,Netral,0.9571
resah banget liat air putih di freezer 😳,resah banget liat air putih freezer,Negatif,0.9968
Yg terlihat,yg terlihat,Netral,0.6967
Yo ngono kui asal mileh karyawan 😂,yo ngono kui asal mileh karyawan,Negatif,0.9903
"Di alfamart aja guys, bisa dianter",alfamart aja guys dianter,Netral,0.9968
Yuk tebak berapa hari buka sebelum akhirnya tutup spt yg lain 😂,yuk tebak berapa hari buka akhirnya tutup spt yg,Netral,0.9887
"padahal di desa udah ada usaha tersendiri, ada yg punya lahan sawah, kebun, tambang, wisata, eh ini malah dipaksa buka kopdes. makanya banyak desa yg boncos",padahal desa udah usaha tersendiri yg punya lahan sawah kebun tambang wisata eh malah dipaksa buka kopdes makanya banyak desa yg boncos,Negatif,0.9536
uang pajak dibikin main alfamart2an,uang pajak dibikin main alfamartan,Negatif,0.9868
sembako.. kopiko termasuk Salah satu sembako rupanya,sembako kopiko termasuk salah satu sembako rupanya,Netral,0.7485
aura tutup permanenya kuat banget,aura tutup permanenya kuat banget,Positif,0.9964
sak deret mie tok mas🤣,sak deret mie tok mas,Negatif,0.9329
